anno,cassazione,corte_appello,tribunale_ordinario,tribunale_minorenni,giudice_pace,pendenti_totali_nazionali,area_siecic,area_sicid,variazione_vs_anno_precedente,variazione_area_siecic,variazione_area_sicid
2003,91963,253429,3363937,110477,777674,4597480,743240,3854240,,,
2004,93726,289608,3307625,109100,948556,4748615,722539,4026076,0.0330,-0.0280,0.0450
2005,95081,323916,3307007,112057,1023454,4861515,700907,4160608,0.0240,-0.0300,0.0330
2006,100805,359011,3326263,119886,1190885,5096850,675517,4421333,0.0480,-0.0360,0.0630
2007,102588,376519,3318876,124906,1371672,5294561,650229,4644332,0.0390,-0.0370,0.0500
2008,99066,398242,3295604,122105,1532645,5447662,613039,4834623,0.0290,-0.0570,0.0410
2009,96233,421825,3317758,119889,1744400,5700105,618195,5081910,0.0460,0.0080,0.0510
2010,97653,443435,3251720,116769,1485525,5395102,643945,4751157,-0.0540,0.0420,-0.0650
2011,95593,448810,3194233,110806,1554445,5403887,659384,4744503,0.0020,0.0240,-0.0010
2012,99792,439848,3086899,106428,1367630,5100597,664745,4435852,-0.0560,0.0080,-0.0650
2013,98692,398315,2789436,96834,1296075,4679352,672492,4006860,-0.0830,0.0120,-0.0970
2014,100778,356016,2596290,92749,1207289,4353122,672777,3680345,-0.0700,0.0000,-0.0810
2015,104561,327080,2381929,89634,1062402,3965606,596884,3368722,-0.0890,-0.1130,-0.0850
2016,106860,312316,2294460,94930,923209,3731775,573549,3158226,-0.0590,-0.0390,-0.0620
2017,106922,290616,2201452,96651,864933,3560574,567553,2993021,-0.0460,-0.0100,-0.0520
2018,111353,269367,2089412,92812,863706,3426650,524358,2902292,-0.0380,-0.0760,-0.0300
2019,117033,241695,1990044,95633,849555,3293960,487616,2806344,-0.0390,-0.0700,-0.0330
2020,120473,229150,1970034,97186,841171,3258014,470743,2787271,-0.0110,-0.0350,-0.0070
2021,111241,209815,1780826,97711,847162,3046755,419690,2627065,-0.0650,-0.1080,-0.0570
2022,104872,189691,1649052,107121,807627,2858363,368681,2489682,-0.0620,-0.1220,-0.0520
2023,94759,171842,1518877,132683,805199,2723360,342909,2380451,-0.0470,-0.0700,-0.0440
2024,87380,159635,1529038,127296,986163,2889512,348472,2541040,0.0610,0.0160,0.0670
