anno,cassazione,corte_appello,tribunale_ordinario,tribunale_minorenni,pendenti_totali_nazionali_escluso_giudice_pace,variazione_vs_anno_precedente_escluso_giudice_pace,giudice_pace,pendenti_totali_nazionali_incluso_giudice_pace,variazione_vs_anno_precedente_incluso_giudice_pace
2003,31140,130395,1139953,36061,1337549,,60379,1397928,
2004,30953,135322,1184940,39847,1391062,0.04,76113,1467175,0.05
2005,32862,140822,1165732,38671,1378087,-0.009,81208,1459295,-0.005
2006,37439,154844,1194511,40407,1427201,0.036,105987,1533188,0.051
2007,33177,157996,1195646,38568,1425387,-0.001,116857,1542244,0.006
2008,28340,170307,1198005,34608,1431260,0.004,116396,1547656,0.004
2009,25560,199470,1184591,35939,1445560,0.01,137177,1582737,0.023
2010,29381,219392,1221444,37653,1507870,0.043,147913,1655783,0.046
2011,30561,238008,1239629,39553,1547751,0.026,154306,1702057,0.028
2012,31289,249319,1293360,42768,1616736,0.045,160709,1777445,0.044
2013,31871,266475,1313246,43126,1654718,0.023,164967,1819685,0.024
2014,34143,260748,1302395,43040,1640326,-0.009,161039,1801365,-0.01
2015,35984,257504,1313577,42274,1649339,0.005,153220,1802559,0.001
2016,30354,268445,1187734,38539,1525072,-0.075,133439,1658511,-0.08
2017,30236,275596,1165339,38890,1510061,-0.01,118759,1628820,-0.018
2018,24609,271247,1157500,40145,1493501,-0.011,108421,1601922,-0.017
2019,23579,263319,1152240,41810,1480948,-0.008,101175,1582123,-0.012
2020,24473,271640,1185957,40901,1522971,0.028,108167,1631138,0.031
2021,23736,262761,1139491,41320,1467308,-0.037,99414,1566722,-0.039
2022,18323,249579,1038004,44074,1349980,-0.08,83372,1433352,-0.085
2023,15125,221303,872734,45079,1154241,-0.145,74099,1228340,-0.143
2024,10488,189796,837504,46822,1084610,-0.06,71658,1156268,-0.059
